Date,S0_naive,S1_realfill,S2_realcost,S3_pit,PIT_BUY_HOLD,BENCHMARK_N100
2011-01-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2011-01-04,992147.0749588013,991443.6755905151,989638.3382251632,989638.3382251632,1000000.0,997740.1138923716
2011-01-05,981397.155757904,981528.7908439636,977942.1251695455,976077.9244832821,1000000.0,986802.587159183
2011-01-06,972540.7013511658,972932.7058906555,968972.8442564498,967903.3255534659,1000000.0,980063.2774380251
2011-01-07,946211.1099357605,946597.1440811157,942722.2253733169,939070.5396113882,1000000.0,957408.8292241578
2011-01-10,930304.385093689,933227.698764801,927870.4380880333,922302.5060274088,1000000.0,934018.3544008139
2011-01-11,930586.6804656982,934436.6328544617,928286.6970763735,919425.3379777714,1000000.0,932689.208367603
2011-01-12,933002.8276176453,938587.9258384705,931768.9849025627,923983.9080071715,1000000.0,949929.0377249509
2011-01-13,933304.7755699158,938841.3916435242,931666.8213090181,924669.6964552528,1000000.0,934139.2567972
2011-01-14,933863.9388237,939402.2215538025,932224.3179063081,923026.298872245,1000000.0,918663.1405639837
2011-01-17,933629.0949668884,939166.6777153015,931990.174031186,922995.205841247,1000000.0,917610.0034907289
2011-01-18,936939.3520774841,942486.8014640808,935290.5645035981,922995.205841247,1000000.0,927739.1120218068
2011-01-19,935987.1595573425,942046.8806610107,933842.1748186314,917873.0754431515,1000000.0,924105.5288348586
2011-01-20,937400.632396698,943129.6246643066,934576.9778799848,917745.2748494195,1000000.0,927247.0637550761
2011-01-21,933386.4990081787,939005.3143730164,930136.8693733951,916719.4390645074,1000000.0,925840.1169587576
2011-01-24,932630.2435798645,938285.4320144653,929090.566748665,916638.4164079444,1000000.0,933280.1465036623
2011-01-25,926077.080745697,931358.7271118164,921538.0110269884,911844.2082165701,1000000.0,924333.0490427273
2011-01-27,920030.190662384,924296.8996047974,914200.2640790027,894176.966166943,1000000.0,909669.7307937854
2011-01-28,908157.4359550476,912092.2338562012,901444.7754693306,875602.0996177853,1000000.0,893663.8904837997
2011-01-31,910368.6260643005,912134.5686340332,901174.4919478408,875706.3035555531,996310.894,893572.713072964
2011-02-01,907595.7155038215,912539.0471440342,901266.5970390819,867020.8847780873,978688.2170636533,879132.4909505874
2011-02-02,907788.7911874152,913108.7152577427,901509.1523373708,871297.2420665167,977946.9820141721,881215.8858868994
2011-02-03,911577.5742684699,916817.381395438,904854.1788470129,879182.9350497271,993282.9798791633,895847.5473708695
2011-02-04,906628.7106820442,912103.648180106,899838.235384105,869836.7672106768,975211.7253216351,876220.1106784992
2011-02-07,901982.9046517707,908237.8492146519,895686.8427991,864888.8115267131,972438.1304077427,875737.8410443924
2011-02-08,894978.9666634895,900967.7516804722,887856.2509739449,854929.9191833072,949641.4243863154,861310.0630737819
2011-02-09,892069.8749886848,897650.4182911899,883963.9456953923,851197.7243166596,924966.7155181337,849510.2339587053
2011-02-10,892675.3778268195,898260.4450245884,884564.9246382634,845857.4528704843,929230.4201501517,846198.4816637593
2011-02-11,893057.6255685188,898646.0937367466,884943.7714095036,845764.1510037469,946901.2512150818,860510.551514498
2011-02-14,893600.2737313606,899193.0320607212,885482.1294112126,851484.9603909539,980603.4669450829,885521.8013322338
2011-02-15,895289.7556954719,900895.8018361118,887158.3235640447,849818.1839016961,983734.5074166196,889719.9855341059
2011-02-16,895870.9852944709,900577.5721303013,885879.7787326251,849839.856251508,987402.6679061652,889959.46413308
2011-02-17,897869.4416238166,902585.8942433384,887858.679275838,857287.2116287053,999537.0435018787,900506.8449416
2011-02-18,882947.1189195014,886700.4708806064,870620.2920851826,837954.1889374194,978581.6051441489,885989.0154813529
2011-02-21,885202.4547005988,888977.0798550632,872862.8561148762,838922.1840279041,985604.8988278953,895092.570238032
2011-02-22,869609.3763238288,873299.4101391819,857429.5859046101,826980.3726303516,973395.1494491309,886857.8103435086
2011-02-23,864326.2021714546,867991.5193120029,852203.8308882832,817342.577010387,966094.2096301467,881493.1446309091
2011-02-24,843139.7447282173,846799.6114426639,831037.4927794999,787438.5485205121,933653.2240443055,853108.7362986048
2011-02-25,856096.3295289375,859931.8823128727,843318.4956507776,802517.675580071,938184.4701140154,859558.9217072091
2011-02-28,847244.4255067207,852815.6305123356,835741.9617154107,805179.1301579336,942578.1259800721,864153.9733448003
2011-03-01,857307.0656281806,864290.9688836124,846751.8925494666,819173.5414636057,979580.7476420797,894572.9527702052
2011-03-03,854945.974620948,861695.7111588505,843279.2205200086,816874.0665141586,979981.7552591524,896471.0036613032
2011-03-04,853130.2955018379,858436.7653924015,839160.9681885184,816813.8121726357,981549.353268172,896870.6211303137
2011-03-07,849004.8820916511,854315.3170090702,835112.2116615714,809409.4179236733,967064.8847025404,884946.8428961156
2011-03-08,853944.2105866767,859274.9021569279,839699.9894430323,819343.9479834877,977735.7909453164,894030.7372532012
2011-03-09,855094.1305505134,860427.5140305546,840759.6767179652,825446.7979209267,982436.7423329956,896097.6070367517
2011-03-10,850773.4906960822,856091.4681550052,836413.9187452479,817320.8753974282,978150.4272107031,890528.4068318246
2011-03-11,842694.9090691902,847970.1283341434,828482.1813871546,811019.2283255898,968367.9465126934,882618.0098508644
2011-03-14,848644.6272851325,853964.6165543583,834297.8836729212,821166.7286765419,980148.8613727223,895499.296275887
2011-03-15,842473.4793397285,847772.9093132999,828253.406999795,811274.2429435097,963676.9943969651,882031.7602007814
2011-03-16,847616.7954789497,852947.8168831852,833332.6030218287,825469.651016935,979308.047016725,892269.8827094184
2011-03-17,838819.5249024726,844777.3738747623,824777.7347608114,816120.3719226348,973521.0838111704,883281.5535888841
2011-03-18,834733.3058625556,840678.3243142155,820668.8432355429,805308.9699298369,964203.9886397687,872054.6931316627
